English;Turkish;Phonetic;TurkishPronunciation;SampleEn;SampleTr;CategoryId;Difficulty
benefit;fayda;/ˈbenɪfɪt/;benefit;Exercise has many benefits.;Egzersizin birçok faydası vardır.;2;3
border;sınır;/ˈbɔːrdər/;bordır;They crossed the border.;Sınırı geçtiler.;4;3
branch;şube / dal;/bræntʃ/;brenç;The bank has a new branch.;Bankanın yeni bir şubesi var.;2;3
budget;bütçe;/ˈbʌdʒɪt/;bacıt;We need a bigger budget.;Daha büyük bir bütçeye ihtiyacımız var.;2;3
capital;başkent / sermaye;/ˈkæpɪtəl/;kepitıl;Ankara is the capital of Turkey.;Ankara Türkiye’nin başkentidir.;2;3
challenge;zorluk;/ˈtʃælɪndʒ/;çelınc;This exam is a challenge.;Bu sınav bir zorluktur.;3;3
chance;şans / fırsat;/tʃæns/;çens;Give me one more chance.;Bana bir şans daha ver.;1;3
characteristic;özellik;/ˌkærəktəˈrɪstɪk/;kerıktıristik;Honesty is an important characteristic.;Dürüstlük önemli bir özelliktir.;3;3
citizen;vatandaş;/ˈsɪtɪzən/;sitizın;Every citizen has rights.;Her vatandaşın hakları vardır.;4;3
climate;iklim;/ˈklaɪmət/;klaymıt;The climate is changing.;İklim değişiyor.;4;3
clue;ipucu;/kluː/;klu;I found a clue.;Bir ipucu buldum.;3;3
community;toplum;/kəˈmjuːnəti/;komyunıti;We live in a small community.;Küçük bir toplumda yaşıyoruz.;7;3
competition;yarışma / rekabet;/ˌkɑːmpəˈtɪʃən/;kompıtişın;She won the competition.;Yarışmayı kazandı.;7;3
condition;durum / şart;/kənˈdɪʃən/;kondişın;The car is in good condition.;Araba iyi durumda.;3;3
confidence;özgüven;/ˈkɑːnfɪdəns/;kanfidıns;He spoke with confidence.;Özgüvenle konuştu.;7;3
consequence;sonuç;/ˈkɑːnsəkwəns/;kansıkwıns;Every action has a consequence.;Her eylemin bir sonucu vardır.;3;3
construction;inşaat;/kənˈstrʌkʃən/;konstrakşın;Construction started yesterday.;İnşaat dün başladı.;6;3
contact;iletişim;/ˈkɑːntækt/;kontak;Keep in contact with me.;Benimle iletişimde kal.;7;3
content;içerik;/ˈkɑːntent/;kontent;The content is useful.;İçerik faydalı.;3;3
contract;sözleşme;/ˈkɑːntrækt/;kontrakt;They signed a contract.;Bir sözleşme imzaladılar.;2;3
culture;kültür;/ˈkʌltʃər/;kalçır;I want to learn about their culture.;Onların kültürünü öğrenmek istiyorum.;7;3
customer;müşteri;/ˈkʌstəmər/;kastımır;The customer was happy.;Müşteri mutluydu.;2;3
decision;karar;/dɪˈsɪʒən/;disijın;It was a difficult decision.;Zor bir karardı.;3;3
degree;derece / diploma;/dɪˈɡriː/;digrii;She has a university degree.;Üniversite diploması var.;3;3
demand;talep;/dɪˈmænd/;dimend;The demand increased.;Talep arttı.;2;3
department;bölüm;/dɪˈpɑːrtmənt/;dipartmınt;He works in the sales department.;Satış bölümünde çalışıyor.;2;3
destination;varış yeri;/ˌdestɪˈneɪʃən/;destıneyşın;Paris is our destination.;Varış yerimiz Paris.;4;3
detail;detay;/ˈdiːteɪl/;diiteyl;Tell me every detail.;Bana her detayı anlat.;3;3
difficulty;zorluk;/ˈdɪfɪkəlti/;difikılti;We had some difficulty.;Biraz zorluk yaşadık.;3;3
direction;yön;/dəˈrekʃən/;direkşın;Which direction should we go?;Hangi yöne gitmeliyiz?;4;3
disadvantage;dezavantaj;/ˌdɪsədˈvæntɪdʒ/;disedventic;This method has a disadvantage.;Bu yöntemin bir dezavantajı var.;2;3
distance;mesafe;/ˈdɪstəns/;distıns;The distance is short.;Mesafe kısa.;4;3
education;eğitim;/ˌedʒuˈkeɪʃən/;ecyukeyşın;Education is very important.;Eğitim çok önemlidir.;3;3
effort;çaba;/ˈefərt/;efırt;Success needs effort.;Başarı çaba gerektirir.;3;3
election;seçim;/ɪˈlekʃən/;ilekşın;The election was fair.;Seçim adildi.;7;3
employee;çalışan;/ɪmˈplɔɪiː/;employii;The employee was helpful.;Çalışan yardımseverdi.;2;3
employer;işveren;/ɪmˈplɔɪər/;employır;The employer offered a job.;İşveren iş teklif etti.;2;3
equipment;ekipman;/ɪˈkwɪpmənt/;ikwipmınt;We need new equipment.;Yeni ekipmana ihtiyacımız var.;6;3
event;etkinlik / olay;/ɪˈvent/;ivent;The event starts at six.;Etkinlik altıda başlıyor.;7;3
evidence;kanıt;/ˈevɪdəns/;evidıns;There is no evidence.;Kanıt yok.;3;3
exchange;değişim;/ɪksˈtʃeɪndʒ/;iksçeync;We had a student exchange.;Öğrenci değişimi yaptık.;2;3
expert;uzman;/ˈekspɜːrt/;ekspert;He is an expert in computers.;O bilgisayar konusunda uzmandır.;2;3
failure;başarısızlık;/ˈfeɪljər/;feylyır;Failure can teach you.;Başarısızlık sana öğretebilir.;3;3
feature;özellik;/ˈfiːtʃər/;fiiçır;This phone has a useful feature.;Bu telefonun faydalı bir özelliği var.;6;3
field;alan / saha;/fiːld/;fiild;He works in the medical field.;Tıp alanında çalışıyor.;3;3
figure;rakam / figür;/ˈfɪɡjər/;figyır;Look at this figure.;Bu rakama bak.;3;3
flight;uçuş;/flaɪt/;flayt;Our flight was delayed.;Uçuşumuz gecikti.;4;3
freedom;özgürlük;/ˈfriːdəm/;friidım;Freedom is valuable.;Özgürlük değerlidir.;7;3
generation;nesil;/ˌdʒenəˈreɪʃən/;cenıreyşın;This generation uses technology a lot.;Bu nesil teknolojiyi çok kullanır.;7;3
government;hükümet;/ˈɡʌvərnmənt/;gavırnmınt;The government made a new rule.;Hükümet yeni bir kural koydu.;7;3
habit;alışkanlık;/ˈhæbɪt/;hebit;Reading is a good habit.;Okumak iyi bir alışkanlıktır.;1;3
height;yükseklik / boy;/haɪt/;hayt;What is your height?;Boyun kaç?;5;3
identity;kimlik;/aɪˈdentəti/;aydentıti;He showed his identity card.;Kimlik kartını gösterdi.;7;3
industry;endüstri / sanayi;/ˈɪndəstri/;indıstri;The car industry is growing.;Araba endüstrisi büyüyor.;2;3
instruction;talimat;/ɪnˈstrʌkʃən/;instrakşın;Read the instructions carefully.;Talimatları dikkatlice oku.;3;3
issue;konu / sorun;/ˈɪʃuː/;işu;We discussed an important issue.;Önemli bir konuyu tartıştık.;3;3
item;ürün / eşya;/ˈaɪtəm/;aytım;This item is expensive.;Bu ürün pahalı.;1;3
journey;yolculuk;/ˈdʒɜːrni/;cörni;The journey took two hours.;Yolculuk iki saat sürdü.;4;3
knowledge;bilgi;/ˈnɑːlɪdʒ/;nalıc;Knowledge is power.;Bilgi güçtür.;3;3
lack;eksiklik;/læk/;lek;There is a lack of water.;Su eksikliği var.;3;3
land;kara / arazi;/lænd/;lend;They bought some land.;Biraz arazi satın aldılar.;4;3
law;yasa;/lɔː/;loo;Everyone must follow the law.;Herkes yasaya uymalı.;7;3
level;seviye;/ˈlevəl/;levıl;Your English level is improving.;İngilizce seviyen gelişiyor.;3;3
lifestyle;yaşam tarzı;/ˈlaɪfstaɪl/;layfstayl;He has a healthy lifestyle.;Sağlıklı bir yaşam tarzı var.;7;3
location;konum;/loʊˈkeɪʃən/;lokeyşın;Send me your location.;Bana konumunu gönder.;4;3
material;malzeme;/məˈtɪriəl/;mıtiryıl;This material is strong.;Bu malzeme sağlam.;6;3
method;yöntem;/ˈmeθəd/;metıd;This method is simple.;Bu yöntem basit.;3;3
mistake;hata;/mɪˈsteɪk/;misteyk;I made a mistake.;Bir hata yaptım.;3;3
nature;doğa;/ˈneɪtʃər/;neyçır;I love nature.;Doğayı severim.;4;3
opportunity;fırsat;/ˌɑːpərˈtuːnəti/;apırtunıti;This is a great opportunity.;Bu harika bir fırsat.;2;3
option;seçenek;/ˈɑːpʃən/;apşın;We have another option.;Başka bir seçeneğimiz var.;3;3
organization;kuruluş;/ˌɔːrɡənəˈzeɪʃən/;orgınızeyşın;She works for an organization.;Bir kuruluş için çalışıyor.;2;3
passenger;yolcu;/ˈpæsɪndʒər/;pesıncır;The passenger missed the bus.;Yolcu otobüsü kaçırdı.;4;3
performance;performans;/pərˈfɔːrməns/;pırformıns;Her performance was excellent.;Performansı mükemmeldi.;2;3
permission;izin;/pərˈmɪʃən/;pırmişın;You need permission.;İzne ihtiyacın var.;2;3
population;nüfus;/ˌpɑːpjuˈleɪʃən/;papyuleyşın;The population is increasing.;Nüfus artıyor.;7;3
pressure;baskı;/ˈpreʃər/;preşır;She works well under pressure.;Baskı altında iyi çalışır.;7;3
purpose;amaç;/ˈpɜːrpəs/;pörpıs;What is the purpose of this meeting?;Bu toplantının amacı ne?;3;3
quality;kalite;/ˈkwɑːləti/;kwalıti;The quality is high.;Kalite yüksek.;3;3
relationship;ilişki;/rɪˈleɪʃənʃɪp/;rileyşınşip;They have a good relationship.;İyi bir ilişkileri var.;7;3
result;sonuç;/rɪˈzʌlt/;rizalt;The result surprised me.;Sonuç beni şaşırttı.;3;3
safety;güvenlik;/ˈseɪfti/;seyfti;Safety comes first.;Güvenlik önce gelir.;5;3
salary;maaş;/ˈsæləri/;selıri;His salary is good.;Maaşı iyi.;2;3
skill;beceri;/skɪl/;skil;Communication is an important skill.;İletişim önemli bir beceridir.;3;3
solution;çözüm;/səˈluːʃən/;soluşın;We found a solution.;Bir çözüm bulduk.;3;3
source;kaynak;/sɔːrs/;sors;What is the source of this information?;Bu bilginin kaynağı nedir?;3;3
task;görev;/tæsk/;task;I finished the task.;Görevi bitirdim.;2;3
technology;teknoloji;/tekˈnɑːlədʒi/;teknaloci;Technology changes fast.;Teknoloji hızlı değişir.;6;3
temperature;sıcaklık;/ˈtemprətʃər/;temprıçır;The temperature is low today.;Bugün sıcaklık düşük.;5;3
tradition;gelenek;/trəˈdɪʃən/;trıdişın;This is an old tradition.;Bu eski bir gelenektir.;7;3
treatment;tedavi;/ˈtriːtmənt/;triitmınt;The treatment was successful.;Tedavi başarılıydı.;5;3
variety;çeşitlilik;/vəˈraɪəti/;vırayııti;The shop offers a variety of products.;Mağaza çeşitli ürünler sunar.;3;3
vehicle;araç;/ˈviːəkəl/;viiıkıl;This vehicle is electric.;Bu araç elektrikli.;4;3
volunteer;gönüllü;/ˌvɑːlənˈtɪr/;valıntir;She works as a volunteer.;Gönüllü olarak çalışıyor.;7;3
wealth;zenginlik;/welθ/;velθ;Wealth does not always bring happiness.;Zenginlik her zaman mutluluk getirmez.;2;3
youth;gençlik;/juːθ/;yuuth;Youth is full of energy.;Gençlik enerji doludur.;7;3
access;erişim;/ˈækses/;akses;I need access to the file.;Dosyaya erişime ihtiyacım var.;6;3
account;hesap;/əˈkaʊnt/;akaunt;I opened a bank account.;Bir banka hesabı açtım.;2;3
action;eylem;/ˈækʃən/;ekşın;We must take action now.;Şimdi harekete geçmeliyiz.;1;3
activity;aktivite;/ækˈtɪvəti/;aktivıti;This activity is fun.;Bu aktivite eğlenceli.;1;3
addition;ekleme;/əˈdɪʃən/;edişın;The addition improved the text.;Ekleme metni geliştirdi.;3;3
advice;tavsiye;/ədˈvaɪs/;edvays;Your advice helped me.;Tavsiyen bana yardım etti.;7;3
agent;temsilci;/ˈeɪdʒənt/;eycınt;The travel agent called me.;Seyahat temsilcisi beni aradı.;2;3
airline;hava yolu;/ˈerlaɪn/;erlayn;This airline is popular.;Bu hava yolu popüler.;4;3
alternative;alternatif;/ɔːlˈtɜːrnətɪv/;oltörnətiv;We need an alternative plan.;Alternatif bir plana ihtiyacımız var.;3;3
analysis;analiz;/əˈnæləsɪs/;enelısis;The analysis was detailed.;Analiz detaylıydı.;3;3
anxiety;kaygı;/æŋˈzaɪəti/;engzayııti;Exams can cause anxiety.;Sınavlar kaygıya neden olabilir.;7;3
argument;tartışma;/ˈɑːrɡjumənt/;argyumınt;They had an argument.;Tartışma yaşadılar.;7;3
arrival;varış;/əˈraɪvəl/;erayvıl;Our arrival was late.;Varışımız geç oldu.;4;3
article;makale;/ˈɑːrtɪkəl/;artikıl;I read an article.;Bir makale okudum.;3;3
aspect;yön / taraf;/ˈæspekt/;aspekt;This is an important aspect.;Bu önemli bir yöndür.;3;3
assistant;asistan;/əˈsɪstənt/;asistınt;The assistant answered the phone.;Asistan telefonu cevapladı.;2;3
attempt;girişim;/əˈtempt/;etempt;His first attempt failed.;İlk girişimi başarısız oldu.;3;3
background;arka plan;/ˈbækɡraʊnd/;bekground;Tell me about your background.;Bana geçmişinden bahset.;3;3
behavior;davranış;/bɪˈheɪvjər/;biheyvyır;His behavior was strange.;Davranışı garipti.;7;3
belief;inanç;/bɪˈliːf/;biliif;Everyone has a different belief.;Herkesin farklı bir inancı vardır.;7;3
birth;doğum;/bɜːrθ/;börθ;Her birth was in May.;Doğumu mayıs ayındaydı.;5;3
camp;kamp;/kæmp/;kemp;We stayed at a camp.;Bir kampta kaldık.;4;3
candidate;aday;/ˈkændɪdət/;kendidıt;She is a strong candidate.;O güçlü bir aday.;2;3
category;kategori;/ˈkætəɡɔːri/;ketıgori;Choose the correct category.;Doğru kategoriyi seç.;3;3
ceremony;tören;/ˈserəmoʊni/;seremoni;The ceremony started early.;Tören erken başladı.;7;3
choice;seçim;/tʃɔɪs/;çoys;It was a hard choice.;Zor bir seçimdi.;3;3
colleague;iş arkadaşı;/ˈkɑːliːɡ/;kaliig;My colleague helped me.;İş arkadaşım bana yardım etti.;2;3
comment;yorum;/ˈkɑːment/;koment;Her comment was useful.;Yorumu faydalıydı.;7;3
committee;komite;/kəˈmɪti/;komiti;The committee made a decision.;Komite bir karar verdi.;2;3
comparison;karşılaştırma;/kəmˈpærɪsən/;komperısın;This comparison is helpful.;Bu karşılaştırma yardımcı.;3;3
complaint;şikayet;/kəmˈpleɪnt/;kompleynt;The company received a complaint.;Şirket bir şikayet aldı.;7;3
conclusion;sonuç / çıkarım;/kənˈkluːʒən/;konkıluujın;The conclusion was clear.;Sonuç açıktı.;3;3
connection;bağlantı;/kəˈnekʃən/;konekşın;The internet connection is slow.;İnternet bağlantısı yavaş.;6;3
context;bağlam;/ˈkɑːntekst/;kontekst;Understand the context first.;Önce bağlamı anla.;3;3
contribution;katkı;/ˌkɑːntrɪˈbjuːʃən/;kontribyuşın;Your contribution is valuable.;Katkın değerlidir.;2;3
conversation;konuşma;/ˌkɑːnvərˈseɪʃən/;konvırseyşın;We had a long conversation.;Uzun bir konuşma yaptık.;7;3
copy;kopya;/ˈkɑːpi/;kapi;I need a copy of this document.;Bu belgenin bir kopyasına ihtiyacım var.;1;3
countryside;kırsal bölge;/ˈkʌntrisaɪd/;kantrisayd;They live in the countryside.;Kırsal bölgede yaşıyorlar.;4;3
crowd;kalabalık;/kraʊd/;kraud;The crowd was excited.;Kalabalık heyecanlıydı.;7;3
currency;para birimi;/ˈkɜːrənsi/;körınsi;The local currency is different.;Yerel para birimi farklı.;2;3
deadline;son teslim tarihi;/ˈdedlaɪn/;dedlayn;The deadline is tomorrow.;Son teslim tarihi yarın.;2;3
debate;münazara / tartışma;/dɪˈbeɪt/;dibeyt;The debate was interesting.;Tartışma ilginçti.;7;3
debt;borç;/det/;det;He paid his debt.;Borcunu ödedi.;2;3
delivery;teslimat;/dɪˈlɪvəri/;dilivıri;The delivery arrived late.;Teslimat geç geldi.;2;3
description;açıklama;/dɪˈskrɪpʃən/;diskripşın;Read the description carefully.;Açıklamayı dikkatlice oku.;3;3
development;gelişim;/dɪˈveləpmənt/;divelıpmınt;This is a positive development.;Bu olumlu bir gelişme.;2;3
difference;fark;/ˈdɪfərəns/;difırıns;There is a big difference.;Büyük bir fark var.;3;3
discussion;tartışma;/dɪˈskʌʃən/;diskâşın;The discussion lasted one hour.;Tartışma bir saat sürdü.;3;3
disease;hastalık;/dɪˈziːz/;diziiz;This disease is serious.;Bu hastalık ciddi.;5;3
document;belge;/ˈdɑːkjumənt/;dokyumınt;Please sign the document.;Lütfen belgeyi imzala.;2;3
donation;bağış;/doʊˈneɪʃən/;douneyşın;They made a donation.;Bağış yaptılar.;7;3
drama;drama;/ˈdrɑːmə/;drama;I watched a drama yesterday.;Dün bir drama izledim.;7;3
duty;görev;/ˈduːti/;duuti;It is my duty.;Bu benim görevim.;2;3
economy;ekonomi;/ɪˈkɑːnəmi/;ikânımi;The economy is growing.;Ekonomi büyüyor.;2;3
editor;editör;/ˈedɪtər/;editır;The editor checked the article.;Editör makaleyi kontrol etti.;2;3
emergency;acil durum;/ɪˈmɜːrdʒənsi/;imörcınsi;Call me in an emergency.;Acil durumda beni ara.;5;3
emotion;duygu;/ɪˈmoʊʃən/;imouşın;Music expresses emotion.;Müzik duyguyu ifade eder.;7;3
entrance;giriş;/ˈentrəns/;entrıns;The entrance is on the left.;Giriş solda.;1;3
environment;çevre;/ɪnˈvaɪrənmənt/;invayrınmınt;We must protect the environment.;Çevreyi korumalıyız.;4;3
error;hata;/ˈerər/;erır;The system showed an error.;Sistem hata gösterdi.;3;3
essay;kompozisyon;/ˈeseɪ/;esey;I wrote an essay.;Bir kompozisyon yazdım.;3;3
explanation;açıklama;/ˌekspləˈneɪʃən/;eksplaneyşın;Her explanation was clear.;Açıklaması açıktı.;3;3
factor;etken / faktör;/ˈfæktər/;fektır;Money is an important factor.;Para önemli bir faktördür.;3;3
fee;ücret;/fiː/;fii;The course fee is high.;Kurs ücreti yüksek.;2;3
festival;festival;/ˈfestɪvəl/;festivıl;The festival begins tonight.;Festival bu gece başlıyor.;7;3
foundation;temel / vakıf;/faʊnˈdeɪʃən/;faundeyşın;Education is the foundation of success.;Eğitim başarının temelidir.;2;3
friendship;arkadaşlık;/ˈfrendʃɪp/;frendşip;Friendship is important.;Arkadaşlık önemlidir.;7;3
furniture;mobilya;/ˈfɜːrnɪtʃər/;förniçır;We bought new furniture.;Yeni mobilya aldık.;1;3
goal;hedef;/ɡoʊl/;goul;My goal is clear.;Hedefim açık.;3;3
grade;not / sınıf;/ɡreɪd/;greyd;She got a good grade.;İyi bir not aldı.;3;3
guest;misafir;/ɡest/;gest;We have a guest today.;Bugün misafirimiz var.;7;3
guide;rehber;/ɡaɪd/;gayd;The guide explained the museum.;Rehber müzeyi anlattı.;4;3
headline;başlık;/ˈhedlaɪn/;hedlayn;The headline was shocking.;Başlık şaşırtıcıydı.;2;3
highway;otoyol;/ˈhaɪweɪ/;hayvey;The highway was busy.;Otoyol yoğundu.;4;3
honor;onur;/ˈɑːnər/;anır;It is an honor to meet you.;Seninle tanışmak bir onur.;7;3
image;görüntü / imaj;/ˈɪmɪdʒ/;imıc;The image is clear.;Görüntü net.;3;3
impact;etki;/ˈɪmpækt/;impekt;The speech had a strong impact.;Konuşmanın güçlü bir etkisi oldu.;3;3
income;gelir;/ˈɪnkʌm/;inkam;His income is stable.;Geliri düzenli.;2;3
independence;bağımsızlık;/ˌɪndɪˈpendəns/;indipendıns;Independence is important for countries.;Bağımsızlık ülkeler için önemlidir.;7;3
injury;yaralanma;/ˈɪndʒəri/;incıri;He had a serious injury.;Ciddi bir yaralanması vardı.;5;3
interview;görüşme / röportaj;/ˈɪntərvjuː/;interviyu;I have an interview tomorrow.;Yarın görüşmem var.;2;3
introduction;giriş / tanıtım;/ˌɪntrəˈdʌkʃən/;intradakşın;The introduction was short.;Giriş kısaydı.;3;3
invitation;davet;/ˌɪnvɪˈteɪʃən/;inviteyşın;I received an invitation.;Bir davet aldım.;7;3
invoice;fatura;/ˈɪnvɔɪs/;invoys;The invoice is on the table.;Fatura masanın üzerinde.;2;3
island;ada;/ˈaɪlənd/;aylınd;They visited a small island.;Küçük bir adayı ziyaret ettiler.;4;3
judge;hakim / yargıç;/dʒʌdʒ/;cac;The judge listened carefully.;Hakim dikkatlice dinledi.;2;3
language;dil;/ˈlæŋɡwɪdʒ/;lengwic;Language connects people.;Dil insanları birbirine bağlar.;3;3
lecture;ders / konferans;/ˈlektʃər/;lekçır;The lecture was useful.;Ders faydalıydı.;3;3
license;lisans / ehliyet;/ˈlaɪsəns/;laysıns;He got a driving license.;Ehliyet aldı.;2;3
memory;hafıza;/ˈmeməri/;memıri;My memory is strong.;Hafızam güçlü.;3;3
message;mesaj;/ˈmesɪdʒ/;mesıc;Send me a message.;Bana mesaj gönder.;7;3
model;model;/ˈmɑːdəl/;madıl;This model is new.;Bu model yeni.;6;3
moment;an;/ˈmoʊmənt/;moumınt;Wait a moment, please.;Lütfen bir an bekle.;1;3
mystery;gizem;/ˈmɪstəri/;mistıri;This story is full of mystery.;Bu hikaye gizem dolu.;3;3
network;ağ;/ˈnetwɜːrk/;netvörk;The network is down.;Ağ çalışmıyor.;6;3
noise;gürültü;/nɔɪz/;noyz;The noise bothered me.;Gürültü beni rahatsız etti.;5;3
note;not;/noʊt/;nout;I wrote a note.;Bir not yazdım.;3;3
opinion;fikir;/əˈpɪnjən/;epinyın;What is your opinion?;Senin fikrin ne?;7;3
owner;sahip;/ˈoʊnər/;ounır;The owner was friendly.;Sahibi arkadaş canlısıydı.;2;3
package;paket;/ˈpækɪdʒ/;pekıc;The package arrived today.;Paket bugün geldi.;2;3
partner;ortak / partner;/ˈpɑːrtnər/;partnır;She is my business partner.;O benim iş ortağım.;2;3
pattern;desen / kalıp;/ˈpætərn/;petırn;I noticed a pattern.;Bir kalıp fark ettim.;3;3
peace;barış;/piːs/;piis;Everyone wants peace.;Herkes barış ister.;7;3
personality;kişilik;/ˌpɜːrsəˈnæləti/;pörsınelıti;She has a strong personality.;Güçlü bir kişiliği var.;7;3
platform;platform;/ˈplætfɔːrm/;pletform;This platform is easy to use.;Bu platformun kullanımı kolay.;6;3
policy;politika / kural;/ˈpɑːləsi/;palısi;The company changed its policy.;Şirket politikasını değiştirdi.;2;3
pollution;kirlilik;/pəˈluːʃən/;poluuşın;Pollution harms nature.;Kirlilik doğaya zarar verir.;5;3
possession;sahip olma / eşya;/pəˈzeʃən/;pozeşın;This bag is my possession.;Bu çanta benim eşyam.;1;3
presentation;sunum;/ˌprezənˈteɪʃən/;prezenteyşın;Her presentation was excellent.;Sunumu mükemmeldi.;2;3
prize;ödül;/praɪz/;prayz;He won a prize.;Ödül kazandı.;7;3
profession;meslek;/prəˈfeʃən/;profeşın;Teaching is a respected profession.;Öğretmenlik saygın bir meslektir.;2;3
progress;ilerleme;/ˈprɑːɡres/;pragres;You made great progress.;Büyük ilerleme kaydettin.;2;3
progress rate;ilerleme oranı;/ˈprɑːɡres/;pragres;The progress rate is high.;İlerleme oranı yüksek.;2;3
project;proje;/ˈprɑːdʒekt/;pracıkt;I am working on a project.;Bir proje üzerinde çalışıyorum.;2;3
property;mülk;/ˈprɑːpərti/;prapırti;He bought a property.;Bir mülk satın aldı.;2;3
proposal;teklif;/prəˈpoʊzəl/;propouzıl;She made a proposal.;Bir teklif sundu.;2;3
protection;koruma;/prəˈtekʃən/;protekşın;Protection is important.;Koruma önemlidir.;5;3
public;halk / kamu;/ˈpʌblɪk/;pablik;The event is public.;Etkinlik halka açık.;7;3
publication;yayın;/ˌpʌblɪˈkeɪʃən/;pablıkeyşın;The publication was successful.;Yayın başarılıydı.;2;3
reaction;tepki;/riˈækʃən/;riyakşın;His reaction was quick.;Tepkisi hızlıydı.;7;3
reality;gerçeklik;/riˈæləti/;riyelıti;Reality is different.;Gerçeklik farklıdır.;3;3
reason;sebep;/ˈriːzən/;riizın;There is a reason.;Bir sebep var.;3;3
recommendation;tavsiye;/ˌrekəmenˈdeɪʃən/;rekomendeyşın;He gave a recommendation.;Tavsiye verdi.;2;3
reference;referans;/ˈrefərəns/;refırıns;Use this as a reference.;Bunu referans olarak kullan.;3;3
region;bölge;/ˈriːdʒən/;riicın;This region is cold.;Bu bölge soğuk.;4;3
register;kayıt olmak;/ˈredʒɪstər/;recistır;Register online.;Online kayıt ol.;2;3
regulation;düzenleme;/ˌreɡjuˈleɪʃən/;reguleyşın;New regulations were introduced.;Yeni düzenlemeler getirildi.;2;3
requirement;gereklilik;/rɪˈkwaɪərmənt/;rikwayırmınt;This is a requirement.;Bu bir gerekliliktir.;2;3
research;araştırma;/rɪˈsɜːrtʃ/;risörç;Research is important.;Araştırma önemlidir.;3;3
resource;kaynak;/ˈriːsɔːrs/;riisors;Water is a resource.;Su bir kaynaktır.;2;3
response;cevap;/rɪˈspɑːns/;rispons;I got a response.;Bir cevap aldım.;2;3
responsibility;sorumluluk;/rɪˌspɑːnsəˈbɪləti/;risponsıbıliti;Responsibility is important.;Sorumluluk önemlidir.;2;3
review;inceleme;/rɪˈvjuː/;rivyu;I wrote a review.;Bir inceleme yazdım.;2;3
risk;risk;/rɪsk/;risk;This is a risk.;Bu bir risk.;2;3
role;rol;/roʊl/;roul;He has an important role.;Önemli bir rolü var.;2;3
rule;kural;/ruːl/;ruul;Follow the rule.;Kurala uy.;2;3
sample;örnek;/ˈsæmpəl/;sempl;Take a sample.;Bir örnek al.;3;3
scene;sahne;/siːn/;siin;The scene was beautiful.;Sahne güzeldi.;1;3
schedule;program;/ˈskedʒuːl/;skecul;Check the schedule.;Programı kontrol et.;2;3
sector;sektör;/ˈsektər/;sektır;The tech sector is growing.;Teknoloji sektörü büyüyor.;2;3
series;seri;/ˈsɪriːz/;siriiz;I watched a series.;Bir dizi izledim.;3;3
service;hizmet;/ˈsɜːrvɪs/;سروis;The service was excellent.;Hizmet mükemmeldi.;2;3
session;oturum;/ˈseʃən/;seşın;The session lasted long.;Oturum uzun sürdü.;2;3
setting;ortam;/ˈsetɪŋ/;seting;The setting was perfect.;Ortam mükemmeldi.;1;3
shipment;sevkiyat;/ˈʃɪpmənt/;şipmınt;The shipment arrived.;Sevkiyat geldi.;2;3
situation;durum;/ˌsɪtʃuˈeɪʃən/;siçueyşın;The situation improved.;Durum iyileşti.;1;3
society;toplum;/səˈsaɪəti/;sasayııti;Society is changing.;Toplum değişiyor.;7;3
software;yazılım;/ˈsɔːftwer/;softver;This software is useful.;Bu yazılım faydalı.;6;3
source code;kaynak kod;/sɔːrs/;sors;Check the source code.;Kaynak kodu kontrol et.;6;3
speech;konuşma;/spiːtʃ/;spiç;His speech was inspiring.;Konuşması ilham vericiydi.;7;3
standard;standart;/ˈstændərd/;stendırd;This is a standard method.;Bu standart bir yöntem.;2;3
statement;ifade;/ˈsteɪtmənt/;steytmınt;His statement was clear.;İfadesi açıktı.;2;3
strategy;strateji;/ˈstrætədʒi/;stretaci;We need a strategy.;Bir stratejiye ihtiyacımız var.;2;3
structure;yapı;/ˈstrʌktʃər/;strakçır;The structure is strong.;Yapı sağlam.;3;3
success;başarı;/səkˈses/;sakses;Success takes time.;Başarı zaman alır.;2;3
suggestion;öneri;/səˈdʒestʃən/;secestçın;I made a suggestion.;Bir öneri yaptım.;7;3
supply;tedarik;/səˈplaɪ/;saplay;The supply is limited.;Tedarik sınırlı.;2;3
support system;destek sistemi;/səˈpɔːrt/;saport;We need a support system.;Bir destek sistemine ihtiyacımız var.;6;3
surface;yüzey;/ˈsɜːrfɪs/;sörfis;The surface is smooth.;Yüzey pürüzsüz.;1;3
survey;anket;/ˈsɜːrveɪ/;sörvey;They conducted a survey.;Bir anket yaptılar.;3;3
symbol;sembol;/ˈsɪmbəl/;simbıl;This is a symbol of peace.;Bu barışın sembolüdür.;3;3
system;sistem;/ˈsɪstəm/;sistım;The system works well.;Sistem iyi çalışıyor.;6;3
target;hedef;/ˈtɑːrɡɪt/;targit;Reach your target.;Hedefine ulaş.;2;3
technique;teknik;/tekˈniːk/;teknik;Learn this technique.;Bu tekniği öğren.;3;3
theory;teori;/ˈθɪəri/;tiırı;This theory is interesting.;Bu teori ilginç.;3;3
topic;konu;/ˈtɑːpɪk/;topik;The topic is important.;Konu önemli.;3;3
tradition value;gelenek değeri;/trəˈdɪʃən/;tradişın;Tradition has value.;Gelenek değerlidir.;7;3
transport;ulaşım;/ˈtrænspɔːrt/;trensport;Transport is easy.;Ulaşım kolay.;4;3
